city,country,model,status,detail,source
Moscow,RU,FGOALS_f3_H,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Moscow,RU,HiRAM_SIT_HR,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Moscow,RU,MRI_AGCM3_2_S,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Moscow,RU,EC_Earth3P_HR,ok,"7305 baseline days, 6940 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Moscow,RU,MPI_ESM1_2_XR,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Moscow,RU,NICAM16_8S,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
London,GB,CMCC_CM2_VHR4,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
London,GB,FGOALS_f3_H,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
London,GB,HiRAM_SIT_HR,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
London,GB,MRI_AGCM3_2_S,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
London,GB,EC_Earth3P_HR,ok,"7305 baseline days, 6940 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
London,GB,MPI_ESM1_2_XR,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
London,GB,NICAM16_8S,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Sydney,AU,CMCC_CM2_VHR4,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Sydney,AU,FGOALS_f3_H,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Sydney,AU,HiRAM_SIT_HR,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Sydney,AU,MRI_AGCM3_2_S,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Sydney,AU,EC_Earth3P_HR,ok,"7305 baseline days, 6940 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Sydney,AU,MPI_ESM1_2_XR,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Sydney,AU,NICAM16_8S,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
New York,US,CMCC_CM2_VHR4,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
New York,US,FGOALS_f3_H,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
New York,US,HiRAM_SIT_HR,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
New York,US,MRI_AGCM3_2_S,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
New York,US,EC_Earth3P_HR,ok,"7305 baseline days, 6940 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
New York,US,MPI_ESM1_2_XR,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
New York,US,NICAM16_8S,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Tokyo,JP,CMCC_CM2_VHR4,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Tokyo,JP,FGOALS_f3_H,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Tokyo,JP,HiRAM_SIT_HR,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Tokyo,JP,MRI_AGCM3_2_S,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Tokyo,JP,EC_Earth3P_HR,ok,"7305 baseline days, 6940 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Tokyo,JP,MPI_ESM1_2_XR,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Tokyo,JP,NICAM16_8S,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Berlin,DE,CMCC_CM2_VHR4,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Berlin,DE,FGOALS_f3_H,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Berlin,DE,HiRAM_SIT_HR,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Berlin,DE,MRI_AGCM3_2_S,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Berlin,DE,EC_Earth3P_HR,ok,"7305 baseline days, 6940 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Berlin,DE,MPI_ESM1_2_XR,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Berlin,DE,NICAM16_8S,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Mexico City,MX,CMCC_CM2_VHR4,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Mexico City,MX,FGOALS_f3_H,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Mexico City,MX,HiRAM_SIT_HR,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Mexico City,MX,MRI_AGCM3_2_S,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Mexico City,MX,EC_Earth3P_HR,error,HTTP Error 429: Too Many Requests,"Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Mexico City,MX,MPI_ESM1_2_XR,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Mexico City,MX,NICAM16_8S,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
