commodity,category,year,median_php_per_kg,median_usd_per_kg,markets,observations,source
Sweet Potato leaves,vegetables and fruits,2025,48.75,0.85,10,117,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Sweet Potato leaves,vegetables and fruits,2026,60.0,1.0,10,60,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Sweet potatoes,cereals and tubers,2008,19.91,0.45,17,198,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Sweet potatoes,cereals and tubers,2009,19.89,0.42,17,203,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Sweet potatoes,cereals and tubers,2010,21.03,0.48,4,47,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Sweet potatoes,cereals and tubers,2011,19.1,0.445,4,48,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Sweet potatoes,cereals and tubers,2012,25.0,0.6,17,166,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Sweet potatoes,cereals and tubers,2013,24.68,0.6,17,84,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Sweet potatoes,cereals and tubers,2014,30.0,0.67,17,80,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Sweet potatoes,cereals and tubers,2015,29.92,0.67,16,152,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Sweet potatoes,cereals and tubers,2016,36.75,0.79,13,129,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Sweet potatoes,cereals and tubers,2017,35.09,0.7,17,177,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Sweet potatoes,cereals and tubers,2018,38.86,0.74,17,197,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Sweet potatoes,cereals and tubers,2019,38.42,0.735,17,72,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Sweet potatoes,cereals and tubers,2020,42.84,0.87,79,608,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Sweet potatoes,cereals and tubers,2021,46.25,0.96,11,132,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Sweet potatoes,cereals and tubers,2022,50.0,0.925,11,132,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Sweet potatoes,cereals and tubers,2023,58.94,1.05,11,132,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Sweet potatoes,cereals and tubers,2024,60.0,1.06,11,132,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Sweet potatoes,cereals and tubers,2025,63.75,1.11,11,132,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Sweet potatoes,cereals and tubers,2026,68.04,1.135,11,66,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Taro,cereals and tubers,2020,55.08,1.12,72,565,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Taro,cereals and tubers,2021,48.75,1.0,16,190,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Taro,cereals and tubers,2022,45.0,0.84,7,81,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Taro,cereals and tubers,2023,49.38,0.88,7,83,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Taro,cereals and tubers,2024,51.25,0.9,7,83,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Taro,cereals and tubers,2025,55.63,0.96,7,83,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Taro,cereals and tubers,2026,67.82,1.14,7,42,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Tomatoes,vegetables and fruits,2008,35.65,0.79,17,204,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Tomatoes,vegetables and fruits,2009,35.51,0.74,17,202,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Tomatoes,vegetables and fruits,2010,34.58,0.76,17,201,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Tomatoes,vegetables and fruits,2012,38.25,0.91,17,179,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Tomatoes,vegetables and fruits,2013,37.67,0.93,17,83,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Tomatoes,vegetables and fruits,2014,41.15,0.94,17,44,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Tomatoes,vegetables and fruits,2015,45.23,1.0,9,83,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Tomatoes,vegetables and fruits,2016,47.54,1.01,9,83,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Tomatoes,vegetables and fruits,2017,42.79,0.86,17,165,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Tomatoes,vegetables and fruits,2018,47.0,0.9,17,196,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Tomatoes,vegetables and fruits,2019,45.87,0.89,17,65,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Tomatoes,vegetables and fruits,2020,59.11,1.205,77,598,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Tomatoes,vegetables and fruits,2021,58.86,1.195,75,890,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Tomatoes,vegetables and fruits,2022,73.75,1.34,74,879,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Tomatoes,vegetables and fruits,2023,78.75,1.42,74,879,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Tomatoes,vegetables and fruits,2024,89.38,1.56,74,882,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Tomatoes,vegetables and fruits,2025,85.25,1.5,76,887,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Tomatoes,vegetables and fruits,2026,86.75,1.44,76,451,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Water spinach,vegetables and fruits,2020,37.09,0.75,77,599,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Water spinach,vegetables and fruits,2021,31.88,0.66,9,105,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Water spinach,vegetables and fruits,2022,38.17,0.68,9,104,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Water spinach,vegetables and fruits,2023,40.0,0.72,9,105,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Water spinach,vegetables and fruits,2024,42.5,0.74,9,107,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Water spinach,vegetables and fruits,2025,44.0,0.76,9,105,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Water spinach,vegetables and fruits,2026,50.0,0.835,9,52,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
