date,section,commodity,specification,price_php_per_kg,source_pdf
2020-03-11,LOCAL COMMERCIAL RICE,Special (Blue tag),kg,54.00,Price-Monitoring-March-11-2020.pdf
2020-03-11,LOCAL COMMERCIAL RICE,Premium (Yellow tag),kg,46.00,Price-Monitoring-March-11-2020.pdf
2020-03-11,LOCAL COMMERCIAL RICE,Well milled (White tag),kg,40.00,Price-Monitoring-March-11-2020.pdf
2020-03-11,LOCAL COMMERCIAL RICE,Regular milled (White tag),kg,35.00,Price-Monitoring-March-11-2020.pdf
2020-03-12,NFA RICE,NFA (Well milled),kg,27.00,Price-Monitoring-March-12-2020.pdf
2020-03-12,IMPORTED COMMERCIAL RICE,Special (Blue tag),kg,50.00,Price-Monitoring-March-12-2020.pdf
2020-03-12,IMPORTED COMMERCIAL RICE,Premium (Yellow tag),kg,40.00,Price-Monitoring-March-12-2020.pdf
2020-03-12,IMPORTED COMMERCIAL RICE,Well milled (White tag),kg,32.00,Price-Monitoring-March-12-2020.pdf
2020-03-12,IMPORTED COMMERCIAL RICE,Regular milled (White tag),kg,36.00,Price-Monitoring-March-12-2020.pdf
2020-03-12,LOCAL COMMERCIAL RICE,Special (Blue tag),kg,54.00,Price-Monitoring-March-12-2020.pdf
2020-03-12,LOCAL COMMERCIAL RICE,Premium (Yellow tag),kg,45.00,Price-Monitoring-March-12-2020.pdf
2020-03-12,LOCAL COMMERCIAL RICE,Well milled (White tag),kg,40.00,Price-Monitoring-March-12-2020.pdf
2020-03-12,LOCAL COMMERCIAL RICE,Regular milled (White tag),kg,35.00,Price-Monitoring-March-12-2020.pdf
2020-03-14,NFA RICE,NFA (Well milled),kg,27.00,Price-Monitoring-March-14-2020.pdf
2020-03-14,IMPORTED COMMERCIAL RICE,Special (Blue tag),kg,50.00,Price-Monitoring-March-14-2020.pdf
2020-03-14,IMPORTED COMMERCIAL RICE,Premium (Yellow tag),kg,40.00,Price-Monitoring-March-14-2020.pdf
2020-03-14,IMPORTED COMMERCIAL RICE,Well milled (White tag),kg,32.00,Price-Monitoring-March-14-2020.pdf
2020-03-14,IMPORTED COMMERCIAL RICE,Regular milled (White tag),kg,36.00,Price-Monitoring-March-14-2020.pdf
2020-03-14,LOCAL COMMERCIAL RICE,Special (Blue tag),kg,55.00,Price-Monitoring-March-14-2020.pdf
2020-03-14,LOCAL COMMERCIAL RICE,Premium (Yellow tag),kg,45.00,Price-Monitoring-March-14-2020.pdf
2020-03-14,LOCAL COMMERCIAL RICE,Well milled (White tag),kg,40.00,Price-Monitoring-March-14-2020.pdf
2020-03-14,LOCAL COMMERCIAL RICE,Regular milled (White tag),kg,32.00,Price-Monitoring-March-14-2020.pdf
2020-03-16,NFA RICE,NFA (Regular milled),kg,27.00,Price-Monitoring-March-16-2020.pdf
2020-03-16,IMPORTED COMMERCIAL RICE,Special (Blue tag),kg,52.00,Price-Monitoring-March-16-2020.pdf
2020-03-16,IMPORTED COMMERCIAL RICE,Premium (Yellow tag),kg,40.00,Price-Monitoring-March-16-2020.pdf
2020-03-16,IMPORTED COMMERCIAL RICE,Well milled (White tag),kg,32.00,Price-Monitoring-March-16-2020.pdf
2020-03-16,IMPORTED COMMERCIAL RICE,Regular milled (White tag),kg,36.00,Price-Monitoring-March-16-2020.pdf
2020-03-16,LOCAL COMMERCIAL RICE,Special (Blue tag),kg,54.00,Price-Monitoring-March-16-2020.pdf
2020-03-16,LOCAL COMMERCIAL RICE,Premium (Yellow tag),kg,46.00,Price-Monitoring-March-16-2020.pdf
2020-03-16,LOCAL COMMERCIAL RICE,Well milled (White tag),kg,40.00,Price-Monitoring-March-16-2020.pdf
2020-03-16,LOCAL COMMERCIAL RICE,Regular milled (White tag),kg,32.00,Price-Monitoring-March-16-2020.pdf
2020-03-18,NFA RICE,NFA (Well milled),kg,27.00,Price-Monitoring-March-18-2020.pdf
2020-03-18,IMPORTED COMMERCIAL RICE,Special (Blue tag),kg,68.00,Price-Monitoring-March-18-2020.pdf
2020-03-18,IMPORTED COMMERCIAL RICE,Premium (Yellow tag),kg,40.00,Price-Monitoring-March-18-2020.pdf
2020-03-18,IMPORTED COMMERCIAL RICE,Well milled (White tag),kg,40.00,Price-Monitoring-March-18-2020.pdf
2020-03-18,IMPORTED COMMERCIAL RICE,Regular milled (White tag),kg,40.00,Price-Monitoring-March-18-2020.pdf
2020-03-18,LOCAL COMMERCIAL RICE,Special (Blue tag),kg,48.00,Price-Monitoring-March-18-2020.pdf
