pmo,port_type,rolling_cargo_type,movement_type,service area,month,year,mont_year,Quarter,volume_units
pmo danao,lgu port,10W  26000-over,inbound,domestic,january,2022,Jan-22,Q1_2022,
pmo danao,lgu port,Heavy Equipment,inbound,domestic,january,2022,Jan-22,Q1_2022,
pmo danao,lgu port,Motor Cycle/ Motor Bike,outbound,domestic,january,2022,Jan-22,Q1_2022,
pmo danao,lgu port,4W  1100-2300,outbound,domestic,january,2022,Jan-22,Q1_2022,
pmo danao,lgu port,4W  2400-over,outbound,domestic,january,2022,Jan-22,Q1_2022,
pmo danao,lgu port,6W  4800-7500,outbound,domestic,january,2022,Jan-22,Q1_2022,
pmo danao,lgu port,6W  7600-15000,outbound,domestic,january,2022,Jan-22,Q1_2022,
pmo danao,lgu port,8W-10W  20000-25000,outbound,domestic,january,2022,Jan-22,Q1_2022,
pmo danao,lgu port,10W  26000-over,outbound,domestic,january,2022,Jan-22,Q1_2022,
pmo danao,lgu port,Heavy Equipment,outbound,domestic,january,2022,Jan-22,Q1_2022,
pmo danao,private port,Motor Cycle/ Motor Bike,inbound,domestic,january,2022,Jan-22,Q1_2022,1269
pmo danao,private port,4W  1100-2300,inbound,domestic,january,2022,Jan-22,Q1_2022,1352
pmo danao,private port,4W  2400-over,inbound,domestic,january,2022,Jan-22,Q1_2022,0
pmo danao,private port,6W  4800-7500,inbound,domestic,january,2022,Jan-22,Q1_2022,469
pmo danao,private port,6W  7600-15000,inbound,domestic,january,2022,Jan-22,Q1_2022,0
pmo danao,private port,8W-10W  20000-25000,inbound,domestic,january,2022,Jan-22,Q1_2022,298
pmo danao,private port,10W  26000-over,inbound,domestic,january,2022,Jan-22,Q1_2022,19
pmo danao,private port,Heavy Equipment,inbound,domestic,january,2022,Jan-22,Q1_2022,0
pmo danao,private port,Motor Cycle/ Motor Bike,outbound,domestic,january,2022,Jan-22,Q1_2022,1430
pmo danao,private port,4W  1100-2300,outbound,domestic,january,2022,Jan-22,Q1_2022,1344
pmo danao,private port,4W  2400-over,outbound,domestic,january,2022,Jan-22,Q1_2022,0
pmo danao,private port,6W  4800-7500,outbound,domestic,january,2022,Jan-22,Q1_2022,494
pmo danao,private port,6W  7600-15000,outbound,domestic,january,2022,Jan-22,Q1_2022,0
pmo danao,private port,8W-10W  20000-25000,outbound,domestic,january,2022,Jan-22,Q1_2022,310
pmo danao,private port,10W  26000-over,outbound,domestic,january,2022,Jan-22,Q1_2022,190
pmo danao,private port,Heavy Equipment,outbound,domestic,january,2022,Jan-22,Q1_2022,0
pmo sta fe,cpa port,Motor Cycle/ Motor Bike,inbound,domestic,january,2022,Jan-22,Q1_2022,3607
pmo sta fe,cpa port,4W  1100-2300,inbound,domestic,january,2022,Jan-22,Q1_2022,714
pmo sta fe,cpa port,4W  2400-over,inbound,domestic,january,2022,Jan-22,Q1_2022,3997
pmo sta fe,cpa port,6W  4800-7500,inbound,domestic,january,2022,Jan-22,Q1_2022,52
pmo sta fe,cpa port,6W  7600-15000,inbound,domestic,january,2022,Jan-22,Q1_2022,2047
pmo sta fe,cpa port,8W-10W  20000-25000,inbound,domestic,january,2022,Jan-22,Q1_2022,48
pmo sta fe,cpa port,10W  26000-over,inbound,domestic,january,2022,Jan-22,Q1_2022,1600
pmo sta fe,cpa port,Heavy Equipment,inbound,domestic,january,2022,Jan-22,Q1_2022,4
pmo sta fe,cpa port,Motor Cycle/ Motor Bike,outbound,domestic,january,2022,Jan-22,Q1_2022,3598
pmo sta fe,cpa port,4W  1100-2300,outbound,domestic,january,2022,Jan-22,Q1_2022,716
pmo sta fe,cpa port,4W  2400-over,outbound,domestic,january,2022,Jan-22,Q1_2022,3996
pmo sta fe,cpa port,6W  4800-7500,outbound,domestic,january,2022,Jan-22,Q1_2022,54
pmo sta fe,cpa port,6W  7600-15000,outbound,domestic,january,2022,Jan-22,Q1_2022,2042
pmo sta fe,cpa port,8W-10W  20000-25000,outbound,domestic,january,2022,Jan-22,Q1_2022,48
pmo sta fe,cpa port,10W  26000-over,outbound,domestic,january,2022,Jan-22,Q1_2022,1608
pmo sta fe,cpa port,Heavy Equipment,outbound,domestic,january,2022,Jan-22,Q1_2022,4
pmo sta fe,lgu port,Motor Cycle/ Motor Bike,inbound,domestic,january,2022,Jan-22,Q1_2022,353
pmo sta fe,lgu port,4W  1100-2300,inbound,domestic,january,2022,Jan-22,Q1_2022,701
pmo sta fe,lgu port,4W  2400-over,inbound,domestic,january,2022,Jan-22,Q1_2022,0
pmo sta fe,lgu port,6W  4800-7500,inbound,domestic,january,2022,Jan-22,Q1_2022,306
pmo sta fe,lgu port,6W  7600-15000,inbound,domestic,january,2022,Jan-22,Q1_2022,4
pmo sta fe,lgu port,8W-10W  20000-25000,inbound,domestic,january,2022,Jan-22,Q1_2022,7
pmo sta fe,lgu port,10W  26000-over,inbound,domestic,january,2022,Jan-22,Q1_2022,596
pmo sta fe,lgu port,Heavy Equipment,inbound,domestic,january,2022,Jan-22,Q1_2022,0
pmo sta fe,lgu port,Motor Cycle/ Motor Bike,outbound,domestic,january,2022,Jan-22,Q1_2022,313
pmo sta fe,lgu port,4W  1100-2300,outbound,domestic,january,2022,Jan-22,Q1_2022,506
pmo sta fe,lgu port,4W  2400-over,outbound,domestic,january,2022,Jan-22,Q1_2022,0
pmo sta fe,lgu port,6W  4800-7500,outbound,domestic,january,2022,Jan-22,Q1_2022,245
pmo sta fe,lgu port,6W  7600-15000,outbound,domestic,january,2022,Jan-22,Q1_2022,0
pmo sta fe,lgu port,8W-10W  20000-25000,outbound,domestic,january,2022,Jan-22,Q1_2022,11
pmo sta fe,lgu port,10W  26000-over,outbound,domestic,january,2022,Jan-22,Q1_2022,512
pmo sta fe,lgu port,Heavy Equipment,outbound,domestic,january,2022,Jan-22,Q1_2022,0
pmo sta fe,private port,Motor Cycle/ Motor Bike,inbound,domestic,january,2022,Jan-22,Q1_2022,
pmo sta fe,private port,4W  1100-2300,inbound,domestic,january,2022,Jan-22,Q1_2022,
pmo sta fe,private port,4W  2400-over,inbound,domestic,january,2022,Jan-22,Q1_2022,
pmo sta fe,private port,6W  4800-7500,inbound,domestic,january,2022,Jan-22,Q1_2022,
pmo sta fe,private port,6W  7600-15000,inbound,domestic,january,2022,Jan-22,Q1_2022,13
pmo sta fe,private port,8W-10W  20000-25000,inbound,domestic,january,2022,Jan-22,Q1_2022,108
pmo sta fe,private port,10W  26000-over,inbound,domestic,january,2022,Jan-22,Q1_2022,64
pmo sta fe,private port,Heavy Equipment,inbound,domestic,january,2022,Jan-22,Q1_2022,
pmo sta fe,private port,Motor Cycle/ Motor Bike,outbound,domestic,january,2022,Jan-22,Q1_2022,
pmo sta fe,private port,4W  1100-2300,outbound,domestic,january,2022,Jan-22,Q1_2022,
pmo sta fe,private port,4W  2400-over,outbound,domestic,january,2022,Jan-22,Q1_2022,
pmo sta fe,private port,6W  4800-7500,outbound,domestic,january,2022,Jan-22,Q1_2022,
pmo sta fe,private port,6W  7600-15000,outbound,domestic,january,2022,Jan-22,Q1_2022,4
pmo sta fe,private port,8W-10W  20000-25000,outbound,domestic,january,2022,Jan-22,Q1_2022,105
pmo sta fe,private port,10W  26000-over,outbound,domestic,january,2022,Jan-22,Q1_2022,70
pmo sta fe,private port,Heavy Equipment,outbound,domestic,january,2022,Jan-22,Q1_2022,
pmo toledo,cpa port,Motor Cycle/ Motor Bike,inbound,domestic,january,2022,Jan-22,Q1_2022,2006
pmo toledo,cpa port,4W  1100-2300,inbound,domestic,january,2022,Jan-22,Q1_2022,263
pmo toledo,cpa port,4W  2400-over,inbound,domestic,january,2022,Jan-22,Q1_2022,614
pmo toledo,cpa port,6W  4800-7500,inbound,domestic,january,2022,Jan-22,Q1_2022,130
pmo toledo,cpa port,6W  7600-15000,inbound,domestic,january,2022,Jan-22,Q1_2022,196
pmo toledo,cpa port,8W-10W  20000-25000,inbound,domestic,january,2022,Jan-22,Q1_2022,335
pmo toledo,cpa port,10W  26000-over,inbound,domestic,january,2022,Jan-22,Q1_2022,210
pmo toledo,cpa port,Heavy Equipment,inbound,domestic,january,2022,Jan-22,Q1_2022,11
pmo toledo,cpa port,Motor Cycle/ Motor Bike,outbound,domestic,january,2022,Jan-22,Q1_2022,1397
pmo toledo,cpa port,4W  1100-2300,outbound,domestic,january,2022,Jan-22,Q1_2022,240
pmo toledo,cpa port,4W  2400-over,outbound,domestic,january,2022,Jan-22,Q1_2022,428
pmo toledo,cpa port,6W  4800-7500,outbound,domestic,january,2022,Jan-22,Q1_2022,91
pmo toledo,cpa port,6W  7600-15000,outbound,domestic,january,2022,Jan-22,Q1_2022,188
pmo toledo,cpa port,8W-10W  20000-25000,outbound,domestic,january,2022,Jan-22,Q1_2022,391
pmo toledo,cpa port,10W  26000-over,outbound,domestic,january,2022,Jan-22,Q1_2022,92
pmo toledo,cpa port,Heavy Equipment,outbound,domestic,january,2022,Jan-22,Q1_2022,0
pmo toledo,lgu port,Motor Cycle/ Motor Bike,inbound,domestic,january,2022,Jan-22,Q1_2022,1013
pmo toledo,lgu port,4W  1100-2300,inbound,domestic,january,2022,Jan-22,Q1_2022,901
pmo toledo,lgu port,4W  2400-over,inbound,domestic,january,2022,Jan-22,Q1_2022,38
pmo toledo,lgu port,6W  4800-7500,inbound,domestic,january,2022,Jan-22,Q1_2022,478
pmo toledo,lgu port,6W  7600-15000,inbound,domestic,january,2022,Jan-22,Q1_2022,227
pmo toledo,lgu port,8W-10W  20000-25000,inbound,domestic,january,2022,Jan-22,Q1_2022,2627
pmo toledo,lgu port,10W  26000-over,inbound,domestic,january,2022,Jan-22,Q1_2022,106
pmo toledo,lgu port,Heavy Equipment,inbound,domestic,january,2022,Jan-22,Q1_2022,15
pmo toledo,lgu port,Motor Cycle/ Motor Bike,outbound,domestic,january,2022,Jan-22,Q1_2022,382
pmo toledo,lgu port,4W  1100-2300,outbound,domestic,january,2022,Jan-22,Q1_2022,635
pmo toledo,lgu port,4W  2400-over,outbound,domestic,january,2022,Jan-22,Q1_2022,69
pmo toledo,lgu port,6W  4800-7500,outbound,domestic,january,2022,Jan-22,Q1_2022,470
pmo toledo,lgu port,6W  7600-15000,outbound,domestic,january,2022,Jan-22,Q1_2022,239
pmo toledo,lgu port,8W-10W  20000-25000,outbound,domestic,january,2022,Jan-22,Q1_2022,2691
pmo toledo,lgu port,10W  26000-over,outbound,domestic,january,2022,Jan-22,Q1_2022,46
pmo toledo,lgu port,Heavy Equipment,outbound,domestic,january,2022,Jan-22,Q1_2022,19
pmo toledo,private port,Motor Cycle/ Motor Bike,inbound,domestic,january,2022,Jan-22,Q1_2022,0
pmo toledo,private port,4W  1100-2300,inbound,domestic,january,2022,Jan-22,Q1_2022,0
pmo toledo,private port,4W  2400-over,inbound,domestic,january,2022,Jan-22,Q1_2022,1
pmo toledo,private port,6W  4800-7500,inbound,domestic,january,2022,Jan-22,Q1_2022,16
pmo toledo,private port,6W  7600-15000,inbound,domestic,january,2022,Jan-22,Q1_2022,42
pmo toledo,private port,8W-10W  20000-25000,inbound,domestic,january,2022,Jan-22,Q1_2022,217
pmo toledo,private port,10W  26000-over,inbound,domestic,january,2022,Jan-22,Q1_2022,43
pmo toledo,private port,Heavy Equipment,inbound,domestic,january,2022,Jan-22,Q1_2022,0
pmo toledo,private port,Motor Cycle/ Motor Bike,outbound,domestic,january,2022,Jan-22,Q1_2022,0
pmo toledo,private port,4W  1100-2300,outbound,domestic,january,2022,Jan-22,Q1_2022,1
pmo toledo,private port,4W  2400-over,outbound,domestic,january,2022,Jan-22,Q1_2022,0
pmo toledo,private port,6W  4800-7500,outbound,domestic,january,2022,Jan-22,Q1_2022,2
pmo toledo,private port,6W  7600-15000,outbound,domestic,january,2022,Jan-22,Q1_2022,24
pmo toledo,private port,8W-10W  20000-25000,outbound,domestic,january,2022,Jan-22,Q1_2022,137
pmo toledo,private port,10W  26000-over,outbound,domestic,january,2022,Jan-22,Q1_2022,111
pmo toledo,private port,Heavy Equipment,outbound,domestic,january,2022,Jan-22,Q1_2022,0
pmo argao,cpa port,Motor Cycle/ Motor Bike,inbound,domestic,january,2022,Jan-22,Q1_2022,12
pmo argao,cpa port,4W  1100-2300,inbound,domestic,january,2022,Jan-22,Q1_2022,3
pmo argao,cpa port,4W  2400-over,inbound,domestic,january,2022,Jan-22,Q1_2022,12
pmo argao,cpa port,6W  4800-7500,inbound,domestic,january,2022,Jan-22,Q1_2022,1
pmo argao,cpa port,6W  7600-15000,inbound,domestic,january,2022,Jan-22,Q1_2022,19
pmo argao,cpa port,8W-10W  20000-25000,inbound,domestic,january,2022,Jan-22,Q1_2022,167
pmo argao,cpa port,10W  26000-over,inbound,domestic,january,2022,Jan-22,Q1_2022,69
pmo argao,cpa port,Heavy Equipment,inbound,domestic,january,2022,Jan-22,Q1_2022,19
pmo argao,cpa port,Motor Cycle/ Motor Bike,outbound,domestic,january,2022,Jan-22,Q1_2022,10
pmo argao,cpa port,4W  1100-2300,outbound,domestic,january,2022,Jan-22,Q1_2022,1
pmo argao,cpa port,4W  2400-over,outbound,domestic,january,2022,Jan-22,Q1_2022,21
pmo argao,cpa port,6W  4800-7500,outbound,domestic,january,2022,Jan-22,Q1_2022,4
pmo argao,cpa port,6W  7600-15000,outbound,domestic,january,2022,Jan-22,Q1_2022,27
pmo argao,cpa port,8W-10W  20000-25000,outbound,domestic,january,2022,Jan-22,Q1_2022,234
pmo argao,cpa port,10W  26000-over,outbound,domestic,january,2022,Jan-22,Q1_2022,98
pmo argao,cpa port,Heavy Equipment,outbound,domestic,january,2022,Jan-22,Q1_2022,
pmo argao,lgu port,Motor Cycle/ Motor Bike,inbound,domestic,january,2022,Jan-22,Q1_2022,
pmo argao,lgu port,4W  1100-2300,inbound,domestic,january,2022,Jan-22,Q1_2022,
pmo argao,lgu port,4W  2400-over,inbound,domestic,january,2022,Jan-22,Q1_2022,
pmo argao,lgu port,6W  4800-7500,inbound,domestic,january,2022,Jan-22,Q1_2022,
