year,ticker,prev_close,close,return_pct,source
2025,AREIT,37.9500,43.5000,14.62,PSE Edge
2026,AREIT,43.5000,36.8000,-15.40,PSE Edge
2015,AT,10.2000,4.0700,-60.10,PSE Edge
2016,AT,4.0700,4.9900,22.60,PSE Edge
2017,AT,4.9900,5.0000,0.20,PSE Edge
2018,AT,5.0000,2.5600,-48.80,PSE Edge
2019,AT,2.5600,2.5000,-2.34,PSE Edge
2020,AT,2.5000,6.4600,158.40,PSE Edge
2021,AT,6.4600,6.1700,-4.49,PSE Edge
2022,AT,6.1700,3.6400,-41.00,PSE Edge
2023,AT,3.6400,3.5300,-3.02,PSE Edge
2024,AT,3.5300,4.3800,24.08,PSE Edge
2025,AT,4.3800,6.0300,37.67,PSE Edge
2026,AT,6.0300,21.1000,249.92,PSE Edge
2015,AUB,69.0000,46.1500,-33.12,PSE Edge
2016,AUB,46.1500,47.9500,3.90,PSE Edge
2017,AUB,47.9500,59.8000,24.71,PSE Edge
2018,AUB,59.8000,59.3000,-0.84,PSE Edge
2019,AUB,59.3000,53.1000,-10.46,PSE Edge
2020,AUB,53.1000,44.9000,-15.44,PSE Edge
2021,AUB,44.9000,43.2500,-3.67,PSE Edge
2022,AUB,43.2500,41.4500,-4.16,PSE Edge
2023,AUB,41.4500,32.7000,-21.11,PSE Edge
2024,AUB,32.7000,61.5000,88.07,PSE Edge
2025,AUB,61.5000,39.2000,-36.26,PSE Edge
2026,AUB,39.2000,56.0000,42.86,PSE Edge
2015,BCOR,28.5000,28.5000,0.00,PSE Edge
2016,BCOR,28.5000,6.3000,-77.89,PSE Edge
2017,BCOR,6.3000,4.8700,-22.70,PSE Edge
2018,BCOR,4.8700,4.5000,-7.60,PSE Edge
2019,BCOR,4.5000,5.2000,15.56,PSE Edge
2020,BCOR,5.2000,6.0000,15.38,PSE Edge
2021,BCOR,6.0000,7.0000,16.67,PSE Edge
2022,BCOR,7.0000,7.9200,13.14,PSE Edge
2023,BCOR,7.9200,7.5100,-5.18,PSE Edge
2024,BCOR,7.5100,9.8000,30.49,PSE Edge
2025,BCOR,9.8000,9.0000,-8.16,PSE Edge
2026,BCOR,9.0000,8.8000,-2.22,PSE Edge
2015,BDO,109.8000,105.0000,-4.37,PSE Edge
2016,BDO,105.0000,112.1000,6.76,PSE Edge
2017,BDO,112.1000,164.0000,46.30,PSE Edge
2018,BDO,164.0000,130.8000,-20.24,PSE Edge
2019,BDO,130.8000,158.0000,20.80,PSE Edge
2020,BDO,158.0000,106.8000,-32.41,PSE Edge
2021,BDO,106.8000,120.7000,13.01,PSE Edge
2022,BDO,120.7000,105.7000,-12.43,PSE Edge
2023,BDO,105.7000,130.5000,23.46,PSE Edge
2024,BDO,130.5000,144.0000,10.34,PSE Edge
2025,BDO,144.0000,134.6000,-6.53,PSE Edge
2026,BDO,134.6000,120.3000,-10.62,PSE Edge
2015,BLOOM,12.4000,4.5400,-63.39,PSE Edge
2016,BLOOM,4.5400,6.1500,35.46,PSE Edge
2017,BLOOM,6.1500,10.9000,77.24,PSE Edge
2018,BLOOM,10.9000,9.4100,-13.67,PSE Edge
2019,BLOOM,9.4100,11.3000,20.09,PSE Edge
2020,BLOOM,11.3000,8.1100,-28.23,PSE Edge
2021,BLOOM,8.1100,6.3000,-22.32,PSE Edge
2022,BLOOM,6.3000,7.6500,21.43,PSE Edge
2023,BLOOM,7.6500,9.8400,28.63,PSE Edge
2024,BLOOM,9.8400,4.5800,-53.46,PSE Edge
2025,BLOOM,4.5800,2.5400,-44.54,PSE Edge
2026,BLOOM,2.5400,2.3100,-9.06,PSE Edge
2015,BPI,94.0000,83.8500,-10.80,PSE Edge
2016,BPI,83.8500,88.8000,5.90,PSE Edge
2017,BPI,88.8000,108.1000,21.73,PSE Edge
2018,BPI,108.1000,94.0000,-13.04,PSE Edge
2019,BPI,94.0000,87.9000,-6.49,PSE Edge
2020,BPI,87.9000,81.3500,-7.45,PSE Edge
2021,BPI,81.3500,92.1500,13.28,PSE Edge
2022,BPI,92.1500,102.0000,10.69,PSE Edge
2023,BPI,102.0000,103.8000,1.76,PSE Edge
2024,BPI,103.8000,122.0000,17.53,PSE Edge
2025,BPI,122.0000,116.1000,-4.84,PSE Edge
2026,BPI,116.1000,104.9000,-9.65,PSE Edge
2015,CBC,47.0000,37.2000,-20.85,PSE Edge
