date,ticker,close,value_php,source
2021-01-19,AGI,10.12,25209145.0,PSE Edge
2021-01-20,AGI,9.93,30424093.0,PSE Edge
2021-01-21,AGI,9.9,52196329.0,PSE Edge
2021-01-22,AGI,9.8,45923882.0,PSE Edge
2021-01-25,AGI,9.99,18131753.0,PSE Edge
2021-01-26,AGI,9.61,76140314.0,PSE Edge
2021-01-27,AGI,9.71,39311926.0,PSE Edge
2021-01-28,AGI,9.6,28552697.0,PSE Edge
2021-01-29,AGI,9.9,106692065.0,PSE Edge
2021-02-01,AGI,9.9,12425950.0,PSE Edge
2021-02-02,AGI,10.0,82906878.0,PSE Edge
2021-02-03,AGI,10.0,9777301.0,PSE Edge
2021-02-04,AGI,9.99,6654275.0,PSE Edge
2021-02-05,AGI,10.0,33713179.0,PSE Edge
2021-02-08,AGI,10.12,49541896.0,PSE Edge
2021-02-09,AGI,10.78,161580320.0,PSE Edge
2021-02-10,AGI,10.78,78409112.0,PSE Edge
2021-02-11,AGI,10.9,632767742.0,PSE Edge
2021-02-15,AGI,10.5,56252764.0,PSE Edge
2021-02-16,AGI,10.84,72144554.0,PSE Edge
2021-02-17,AGI,10.58,14764366.0,PSE Edge
2021-02-18,AGI,10.2,25965038.0,PSE Edge
2021-02-19,AGI,10.4,69391654.0,PSE Edge
2021-02-22,AGI,10.4,11914334.0,PSE Edge
2021-02-23,AGI,10.36,65147520.0,PSE Edge
2021-02-24,AGI,10.46,31348622.0,PSE Edge
2021-02-26,AGI,10.74,164746066.0,PSE Edge
2021-03-01,AGI,10.8,34511546.0,PSE Edge
2021-03-02,AGI,10.64,60943636.0,PSE Edge
2021-03-03,AGI,10.92,26773500.0,PSE Edge
2021-03-04,AGI,10.78,40674760.0,PSE Edge
2021-03-05,AGI,10.52,44767614.0,PSE Edge
2021-03-08,AGI,10.2,61384298.0,PSE Edge
2021-03-09,AGI,10.34,30061219.0,PSE Edge
2021-03-10,AGI,10.76,97197702.0,PSE Edge
2021-03-11,AGI,10.68,39276772.0,PSE Edge
2021-03-12,AGI,10.94,101384212.0,PSE Edge
2021-03-15,AGI,10.32,49200422.0,PSE Edge
2021-03-16,AGI,10.12,19758980.0,PSE Edge
2021-03-17,AGI,10.18,56300508.0,PSE Edge
2021-03-18,AGI,10.68,15972864.0,PSE Edge
2021-03-19,AGI,10.4,50997280.0,PSE Edge
2021-03-22,AGI,10.28,16915036.0,PSE Edge
2021-03-23,AGI,10.5,48147108.0,PSE Edge
2021-03-24,AGI,10.34,12963048.0,PSE Edge
2021-03-25,AGI,10.58,48947066.0,PSE Edge
2021-03-26,AGI,10.66,13584532.0,PSE Edge
2021-03-29,AGI,10.64,38796444.0,PSE Edge
2021-03-30,AGI,10.68,48412660.0,PSE Edge
2021-03-31,AGI,10.64,8706508.0,PSE Edge
2021-04-05,AGI,10.86,67923118.0,PSE Edge
2021-04-06,AGI,11.28,102734890.0,PSE Edge
2021-04-07,AGI,11.34,53544138.0,PSE Edge
2021-04-08,AGI,11.4,100833184.0,PSE Edge
2021-04-12,AGI,11.1,37376766.0,PSE Edge
2021-04-13,AGI,10.64,106111088.0,PSE Edge
2021-04-14,AGI,10.8,29707164.0,PSE Edge
2021-04-15,AGI,11.02,22109248.0,PSE Edge
2021-04-16,AGI,10.9,20305266.0,PSE Edge
2021-04-19,AGI,10.78,9889484.0,PSE Edge
2021-04-20,AGI,10.68,41609518.0,PSE Edge
2021-04-21,AGI,10.48,58334602.0,PSE Edge
2021-04-22,AGI,10.7,17037482.0,PSE Edge
2021-04-23,AGI,10.46,21020488.0,PSE Edge
2021-04-26,AGI,10.48,13570908.0,PSE Edge
2021-04-27,AGI,10.36,5562918.0,PSE Edge
2021-04-28,AGI,10.52,7775456.0,PSE Edge
2021-04-29,AGI,10.54,22441242.0,PSE Edge
2021-04-30,AGI,10.48,16284900.0,PSE Edge
2021-05-03,AGI,10.5,9522676.0,PSE Edge
2021-05-04,AGI,10.52,11648250.0,PSE Edge
2021-05-05,AGI,10.38,12067458.0,PSE Edge
2021-05-06,AGI,10.38,36738704.0,PSE Edge
2021-05-07,AGI,10.36,11864360.0,PSE Edge
2021-05-10,AGI,10.38,38346914.0,PSE Edge
2021-05-11,AGI,10.12,59014188.0,PSE Edge
2021-05-12,AGI,9.98,29631337.0,PSE Edge
2021-05-14,AGI,10.12,26382290.0,PSE Edge
2021-05-17,AGI,10.34,47594620.0,PSE Edge
2021-05-18,AGI,10.4,15528230.0,PSE Edge
2021-05-19,AGI,10.44,16090424.0,PSE Edge
2021-05-20,AGI,10.4,13277542.0,PSE Edge
2021-05-21,AGI,10.12,24441976.0,PSE Edge
2021-05-24,AGI,9.93,33837276.0,PSE Edge
2021-05-25,AGI,9.83,47918021.0,PSE Edge
2021-05-26,AGI,10.02,13438516.0,PSE Edge
2021-05-27,AGI,10.0,104855928.0,PSE Edge
2021-05-28,AGI,10.2,57362862.0,PSE Edge
2021-05-31,AGI,10.38,22060166.0,PSE Edge
2021-06-01,AGI,10.32,27204682.0,PSE Edge
2021-06-02,AGI,10.7,88989186.0,PSE Edge
2021-06-03,AGI,10.64,241423318.0,PSE Edge
2021-06-04,AGI,10.6,8738542.0,PSE Edge
2021-06-07,AGI,10.24,36817358.0,PSE Edge
2021-06-08,AGI,10.26,88889310.0,PSE Edge
2021-06-09,AGI,10.36,70865918.0,PSE Edge
2021-06-10,AGI,10.3,29385490.0,PSE Edge
2021-06-11,AGI,10.22,25872170.0,PSE Edge
2021-06-14,AGI,10.38,13608842.0,PSE Edge
2021-06-15,AGI,10.34,33236646.0,PSE Edge
2021-06-16,AGI,10.28,46055142.0,PSE Edge
2021-06-17,AGI,10.28,21699710.0,PSE Edge
2021-06-18,AGI,10.2,80022982.0,PSE Edge
2021-06-21,AGI,10.06,45737864.0,PSE Edge
2021-06-22,AGI,10.22,53420210.0,PSE Edge
2021-06-23,AGI,10.24,12377476.0,PSE Edge
2021-06-24,AGI,10.1,24426072.0,PSE Edge
2021-06-25,AGI,10.26,6152976.0,PSE Edge
2021-06-28,AGI,10.32,10748386.0,PSE Edge
2021-06-29,AGI,10.24,16449390.0,PSE Edge
2021-06-30,AGI,10.16,65482144.0,PSE Edge
2021-07-01,AGI,10.32,50969864.0,PSE Edge
2021-07-02,AGI,10.28,35778026.0,PSE Edge
2021-07-05,AGI,10.38,21373848.0,PSE Edge
2021-07-06,AGI,10.4,24329348.0,PSE Edge
2021-07-07,AGI,10.36,37851172.0,PSE Edge
2021-07-08,AGI,10.38,22924740.0,PSE Edge
2021-07-09,AGI,10.14,51268026.0,PSE Edge
2021-07-12,AGI,10.18,26610524.0,PSE Edge
2021-07-13,AGI,10.28,11602348.0,PSE Edge
2021-07-14,AGI,10.28,9978104.0,PSE Edge
2021-07-15,AGI,10.06,40684754.0,PSE Edge
2021-07-16,AGI,10.0,30005004.0,PSE Edge
2021-07-19,AGI,10.1,32618209.0,PSE Edge
2021-07-21,AGI,9.63,116685347.0,PSE Edge
2021-07-22,AGI,9.84,20413408.0,PSE Edge
2021-07-23,AGI,9.69,18132232.0,PSE Edge
2021-07-26,AGI,9.46,12171941.0,PSE Edge
2021-07-27,AGI,9.68,19314917.0,PSE Edge
2021-07-28,AGI,9.75,15235453.0,PSE Edge
2021-07-29,AGI,10.02,9297431.0,PSE Edge
2021-07-30,AGI,10.16,22418617.0,PSE Edge
2021-08-02,AGI,10.0,16867708.0,PSE Edge
2021-08-03,AGI,10.08,14602128.0,PSE Edge
2021-08-04,AGI,9.99,20121913.0,PSE Edge
2021-08-05,AGI,9.98,5251863.0,PSE Edge
2021-08-06,AGI,10.0,5708089.0,PSE Edge
2021-08-09,AGI,9.99,19505795.0,PSE Edge
2021-08-10,AGI,9.95,18731100.0,PSE Edge
2021-08-11,AGI,9.89,18588544.0,PSE Edge
2021-08-12,AGI,9.78,49087203.0,PSE Edge
2021-08-13,AGI,9.0,51836146.0,PSE Edge
2021-08-16,AGI,9.75,48593888.0,PSE Edge
2021-08-17,AGI,9.69,23261746.0,PSE Edge
2021-08-18,AGI,9.81,27891452.0,PSE Edge
2021-08-19,AGI,10.6,83860015.0,PSE Edge
2021-08-20,AGI,10.6,205521178.0,PSE Edge
2021-08-23,AGI,10.32,74863730.0,PSE Edge
2021-08-24,AGI,10.44,51712402.0,PSE Edge
2021-08-25,AGI,10.34,37607282.0,PSE Edge
2021-08-26,AGI,10.18,26456194.0,PSE Edge
2021-08-27,AGI,10.22,26386708.0,PSE Edge
2021-08-31,AGI,10.3,21607652.0,PSE Edge
2021-09-01,AGI,10.26,21342584.0,PSE Edge
2021-09-02,AGI,10.4,26063544.0,PSE Edge
2021-09-03,AGI,10.62,21328350.0,PSE Edge
2021-09-06,AGI,10.6,4266708.0,PSE Edge
2021-09-07,AGI,10.66,11833916.0,PSE Edge
2021-09-08,AGI,10.3,27611996.0,PSE Edge
2021-09-09,AGI,10.5,27595650.0,PSE Edge
2021-09-10,AGI,10.7,16671802.0,PSE Edge
2021-09-13,AGI,10.66,9373640.0,PSE Edge
2021-09-14,AGI,10.66,34570494.0,PSE Edge
2021-09-15,AGI,10.6,49424204.0,PSE Edge
2021-09-16,AGI,10.8,45230416.0,PSE Edge
2021-09-17,AGI,10.78,101967982.0,PSE Edge
2021-09-20,AGI,10.22,105796976.0,PSE Edge
2021-09-21,AGI,10.26,19377104.0,PSE Edge
2021-09-22,AGI,10.18,73101326.0,PSE Edge
2021-09-23,AGI,10.3,40261114.0,PSE Edge
2021-09-24,AGI,10.42,17728796.0,PSE Edge
2021-09-27,AGI,10.14,68534712.0,PSE Edge
2021-09-27,AGI,10.14,68534712.0,PSE Edge
2021-09-28,AGI,10.0,54090958.0,PSE Edge
2021-09-29,AGI,10.1,41676307.0,PSE Edge
2021-09-30,AGI,10.3,30530300.0,PSE Edge
2021-10-01,AGI,10.32,14791450.0,PSE Edge
2021-10-04,AGI,10.38,21618978.0,PSE Edge
2021-10-05,AGI,10.4,9512630.0,PSE Edge
2021-10-06,AGI,10.2,29410008.0,PSE Edge
2021-10-07,AGI,10.2,83383286.0,PSE Edge
2021-10-08,AGI,10.34,91972156.0,PSE Edge
2021-10-11,AGI,10.36,138366750.0,PSE Edge
2021-10-12,AGI,10.3,72308944.0,PSE Edge
2021-10-13,AGI,10.3,96843206.0,PSE Edge
2021-10-14,AGI,10.3,196693540.0,PSE Edge
2021-10-15,AGI,10.52,48191544.0,PSE Edge
2021-10-18,AGI,10.46,100858844.0,PSE Edge
2021-10-19,AGI,10.8,86934864.0,PSE Edge
2021-10-20,AGI,10.86,210833058.0,PSE Edge
2021-10-21,AGI,11.0,105166680.0,PSE Edge
2021-10-22,AGI,10.78,51324902.0,PSE Edge
2021-10-25,AGI,10.86,28478846.0,PSE Edge
2021-10-26,AGI,10.52,61160960.0,PSE Edge
2021-10-27,AGI,10.6,48466622.0,PSE Edge
2021-10-28,AGI,10.42,39869704.0,PSE Edge
2021-10-29,AGI,10.4,26629110.0,PSE Edge
2021-11-02,AGI,10.76,54143456.0,PSE Edge
2021-11-03,AGI,10.86,51851438.0,PSE Edge
2021-11-04,AGI,10.58,38581118.0,PSE Edge
2021-11-05,AGI,10.76,135757844.0,PSE Edge
2021-11-08,AGI,10.96,197158238.0,PSE Edge
2021-11-09,AGI,11.3,184385248.0,PSE Edge
2021-11-10,AGI,10.98,78419714.0,PSE Edge
2021-11-11,AGI,11.18,26610074.0,PSE Edge
2021-11-12,AGI,11.3,31338324.0,PSE Edge
2021-11-15,AGI,11.16,31236548.0,PSE Edge
2021-11-16,AGI,11.2,69121868.0,PSE Edge
2021-11-17,AGI,11.26,13621456.0,PSE Edge
2021-11-18,AGI,11.24,21998582.0,PSE Edge
2021-11-19,AGI,11.2,44868410.0,PSE Edge
2021-11-22,AGI,11.22,18229434.0,PSE Edge
2021-11-23,AGI,11.78,121804024.0,PSE Edge
2021-11-24,AGI,12.08,111100206.0,PSE Edge
2021-11-25,AGI,12.0,13123682.0,PSE Edge
2021-11-26,AGI,11.68,41630774.0,PSE Edge
2021-11-29,AGI,11.32,174797618.0,PSE Edge
2021-12-01,AGI,10.8,100743686.0,PSE Edge
