iso3,country,region,income_group,year,population,has_water_basic,has_water_safely_managed,has_sanitation_safely_managed,status,source
GUM,Guam,East Asia & Pacific,High income,2024,167777,yes,yes,no,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
GUY,Guyana,Latin America & Caribbean ,High income,2024,831087,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
HKG,"Hong Kong SAR, China",East Asia & Pacific,High income,2024,7524100,no,no,no,"basic only, no safely-managed estimate","WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
HND,Honduras,Latin America & Caribbean ,Lower middle income,2024,10825703,yes,yes,no,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
HRV,Croatia,Europe & Central Asia,High income,2024,3866200,yes,yes,no,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
HTI,Haiti,Latin America & Caribbean ,Lower middle income,2024,11772557,yes,no,no,"basic only, no safely-managed estimate","WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
HUN,Hungary,Europe & Central Asia,High income,2024,9562065,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
IDN,Indonesia,East Asia & Pacific,Upper middle income,2024,283487931,yes,yes,no,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
IMN,Isle of Man,Europe & Central Asia,High income,2024,84160,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
IND,India,South Asia,Lower middle income,2024,1450935791,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
IRL,Ireland,Europe & Central Asia,High income,2024,5395790,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
IRN,"Iran, Islamic Rep.","Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,2024,91567738,yes,yes,no,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
IRQ,Iraq,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,2024,46042015,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
ISL,Iceland,Europe & Central Asia,High income,2024,386506,yes,yes,no,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
ISR,Israel,"Middle East, North Africa, Afghanistan & Pakistan",High income,2024,10002200,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
ITA,Italy,Europe & Central Asia,High income,2024,58952704,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
JAM,Jamaica,Latin America & Caribbean ,Upper middle income,2024,2839175,yes,no,yes,"basic only, no safely-managed estimate","WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
JOR,Jordan,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,2024,11552876,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
JPN,Japan,East Asia & Pacific,High income,2024,123975371,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,2024,20592571,yes,yes,no,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
KEN,Kenya,Sub-Saharan Africa ,Lower middle income,2024,56432944,yes,no,yes,"basic only, no safely-managed estimate","WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
KGZ,Kyrgyz Republic,Europe & Central Asia,Lower middle income,2024,7221868,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
KHM,Cambodia,East Asia & Pacific,Lower middle income,2024,17638801,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
KIR,Kiribati,East Asia & Pacific,Lower middle income,2024,134518,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
KNA,St. Kitts and Nevis,Latin America & Caribbean ,High income,2017,47050,yes,no,no,"basic only, no safely-managed estimate","WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
KOR,"Korea, Rep.",East Asia & Pacific,High income,2024,51751065,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
KWT,Kuwait,"Middle East, North Africa, Afghanistan & Pakistan",High income,2024,4897263,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
LAO,Lao PDR,East Asia & Pacific,Lower middle income,2024,7769819,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
LBN,Lebanon,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,2024,5805962,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
LBR,Liberia,Sub-Saharan Africa ,Low income,2024,5612817,yes,no,no,"basic only, no safely-managed estimate","WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
LBY,Libya,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,2024,7381023,yes,no,yes,"basic only, no safely-managed estimate","WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
LCA,St. Lucia,Latin America & Caribbean ,Upper middle income,2024,179744,yes,no,no,"basic only, no safely-managed estimate","WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
LIE,Liechtenstein,Europe & Central Asia,High income,2024,40450,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
LKA,Sri Lanka,South Asia,Upper middle income,2024,21916000,yes,yes,no,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
LSO,Lesotho,Sub-Saharan Africa ,Lower middle income,2024,2337423,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
LTU,Lithuania,Europe & Central Asia,High income,2024,2888278,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
LUX,Luxembourg,Europe & Central Asia,High income,2024,677012,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
LVA,Latvia,Europe & Central Asia,High income,2024,1866124,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
MAC,"Macao SAR, China",East Asia & Pacific,High income,2024,687000,no,no,no,"basic only, no safely-managed estimate","WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
MAF,St. Martin (French part),Latin America & Caribbean ,High income,2024,26129,no,no,no,"basic only, no safely-managed estimate","WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
MAR,Morocco,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,2024,38081173,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
MCO,Monaco,Europe & Central Asia,High income,2024,38631,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
MDA,Moldova,Europe & Central Asia,Upper middle income,2024,2402306,yes,yes,no,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
MDG,Madagascar,Sub-Saharan Africa ,Low income,2024,31964956,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
MDV,Maldives,South Asia,Upper middle income,2024,527799,yes,no,no,"basic only, no safely-managed estimate","WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
MEX,Mexico,Latin America & Caribbean ,Upper middle income,2024,130861007,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
MHL,Marshall Islands,East Asia & Pacific,Upper middle income,2024,37548,yes,no,no,"basic only, no safely-managed estimate","WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
MKD,North Macedonia,Europe & Central Asia,Upper middle income,2024,1824359,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
MLI,Mali,Sub-Saharan Africa ,Low income,2024,24478595,yes,no,yes,"basic only, no safely-managed estimate","WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
MLT,Malta,"Middle East, North Africa, Afghanistan & Pakistan",High income,2024,568847,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
MMR,Myanmar,East Asia & Pacific,Lower middle income,2024,54500091,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
MNE,Montenegro,Europe & Central Asia,Upper middle income,2024,623525,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
MNG,Mongolia,East Asia & Pacific,Upper middle income,2024,3524788,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
MNP,Northern Mariana Islands,East Asia & Pacific,High income,2024,44278,yes,yes,no,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
MOZ,Mozambique,Sub-Saharan Africa ,Low income,2024,34631766,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
MRT,Mauritania,Sub-Saharan Africa ,Lower middle income,2024,5169395,yes,no,no,"basic only, no safely-managed estimate","WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
MUS,Mauritius,Sub-Saharan Africa ,Upper middle income,2024,1245779,yes,no,no,"basic only, no safely-managed estimate","WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
MWI,Malawi,Sub-Saharan Africa ,Low income,2024,21655286,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
MYS,Malaysia,East Asia & Pacific,Upper middle income,2024,35557673,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
NAM,Namibia,Sub-Saharan Africa ,Lower middle income,2024,3030131,yes,no,no,"basic only, no safely-managed estimate","WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
NCL,New Caledonia,East Asia & Pacific,High income,2024,292639,yes,yes,no,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
NER,Niger,Sub-Saharan Africa ,Low income,2024,27032412,yes,no,yes,"basic only, no safely-managed estimate","WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
NGA,Nigeria,Sub-Saharan Africa ,Lower middle income,2024,232679478,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
NLD,Netherlands,Europe & Central Asia,High income,2024,17993485,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
NOR,Norway,Europe & Central Asia,High income,2024,5572279,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
NPL,Nepal,South Asia,Lower middle income,2024,29651054,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
NRU,Naoero,East Asia & Pacific,High income,2024,11947,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
NZL,New Zealand,East Asia & Pacific,High income,2024,5290000,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
OMN,Oman,"Middle East, North Africa, Afghanistan & Pakistan",High income,2024,5281538,yes,yes,no,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
PAK,Pakistan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,2024,251269164,yes,yes,no,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
PAN,Panama,Latin America & Caribbean ,High income,2024,4515577,yes,no,no,"basic only, no safely-managed estimate","WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
PER,Peru,Latin America & Caribbean ,Upper middle income,2024,34217848,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
PHL,Philippines,East Asia & Pacific,Upper middle income,2024,115843670,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
PLW,Palau,East Asia & Pacific,High income,2024,17695,yes,yes,no,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
PNG,Papua New Guinea,East Asia & Pacific,Lower middle income,2024,10576502,yes,no,yes,"basic only, no safely-managed estimate","WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
POL,Poland,Europe & Central Asia,High income,2024,36559233,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
PRI,Puerto Rico (US),Latin America & Caribbean ,High income,2024,3202521,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
PRK,"Korea, Dem. People's Rep.",East Asia & Pacific,Low income,2023,26418204,yes,yes,no,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
PRT,Portugal,Europe & Central Asia,High income,2024,10694681,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
PRY,Paraguay,Latin America & Caribbean ,Upper middle income,2024,6929153,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
PSE,West Bank and Gaza,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,2024,5289152,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
PYF,French Polynesia,East Asia & Pacific,High income,2024,281807,yes,yes,no,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
QAT,Qatar,"Middle East, North Africa, Afghanistan & Pakistan",High income,2024,2857822,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
ROU,Romania,Europe & Central Asia,High income,2024,19051804,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
RUS,Russian Federation,Europe & Central Asia,High income,2024,143669648,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
RWA,Rwanda,Sub-Saharan Africa ,Low income,2024,14256567,yes,no,no,"basic only, no safely-managed estimate","WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
SAU,Saudi Arabia,"Middle East, North Africa, Afghanistan & Pakistan",High income,2024,35300280,yes,no,yes,"basic only, no safely-managed estimate","WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
SDN,Sudan,Sub-Saharan Africa ,Low income,2024,50448963,yes,no,no,"basic only, no safely-managed estimate","WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
SEN,Senegal,Sub-Saharan Africa ,Lower middle income,2024,18501984,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
SGP,Singapore,East Asia & Pacific,High income,2024,6036860,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
SLB,Solomon Islands,East Asia & Pacific,Lower middle income,2024,819198,yes,no,no,"basic only, no safely-managed estimate","WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
SLE,Sierra Leone,Sub-Saharan Africa ,Low income,2024,8642022,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
SLV,El Salvador,Latin America & Caribbean ,Upper middle income,2024,6338193,yes,no,yes,"basic only, no safely-managed estimate","WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
