iso3,country,year,residence,indicator,pct,source
AFG,Afghanistan,2005,rural,sanitation_basic,25.1165,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2005,rural,sanitation_safely_managed,13.2232,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2005,rural,water_basic,30.4316,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2005,rural,water_safely_managed,11.8193,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2005,total,handwashing_basic,35.3437,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2005,total,open_defecation,21.6696,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2005,total,sanitation_basic,28.0329,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2005,total,sanitation_safely_managed,13.0192,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2005,total,water_basic,38.1081,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2005,total,water_safely_managed,14.7266,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2005,urban,handwashing_basic,66.1101,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2005,urban,sanitation_basic,37.9624,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2005,urban,sanitation_safely_managed,12.3248,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2005,urban,water_basic,64.2442,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2005,urban,water_safely_managed,24.6248,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2006,rural,handwashing_basic,26.3072,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2006,rural,sanitation_basic,26.5035,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2006,rural,sanitation_safely_managed,13.9595,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2006,rural,water_basic,32.5452,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2006,rural,water_safely_managed,12.6402,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2006,total,handwashing_basic,35.4249,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2006,total,open_defecation,21.091,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2006,total,sanitation_basic,29.4737,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2006,total,sanitation_safely_managed,13.7401,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2006,total,water_basic,40.2158,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2006,total,water_safely_managed,15.5424,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2006,urban,handwashing_basic,66.1101,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2006,urban,sanitation_basic,39.4699,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2006,urban,sanitation_safely_managed,13.0017,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2006,urban,water_basic,66.031,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2006,urban,water_safely_managed,25.3097,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
