scope,year,residence,indicator,pct,source
AFR,2007,rural,water_safely_managed,9.2029,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2007,total,open_defecation,25.3154,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2007,total,sanitation_basic,28.2546,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2007,total,sanitation_safely_managed,20.6089,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2007,total,water_basic,53.5523,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2007,total,water_safely_managed,22.8898,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2007,urban,open_defecation,7.4005,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2007,urban,sanitation_basic,43.0598,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2007,urban,sanitation_safely_managed,28.1718,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2007,urban,water_basic,81.1817,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2007,urban,water_safely_managed,47.0388,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2008,rural,open_defecation,34.7952,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2008,rural,sanitation_basic,20.1417,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2008,rural,sanitation_safely_managed,16.6842,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2008,rural,water_basic,38.7517,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2008,rural,water_safely_managed,9.5705,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2008,total,open_defecation,24.675,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2008,total,sanitation_basic,28.8066,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2008,total,sanitation_safely_managed,21.0113,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2008,total,water_basic,54.4691,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2008,total,water_safely_managed,23.4667,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2008,urban,open_defecation,7.246,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2008,urban,sanitation_basic,43.5335,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2008,urban,sanitation_safely_managed,28.4793,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2008,urban,water_basic,81.5032,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2008,urban,water_safely_managed,47.4496,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2009,rural,open_defecation,34.0925,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2009,rural,sanitation_basic,20.5635,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2009,rural,sanitation_safely_managed,17.0507,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2009,rural,water_basic,39.6755,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2009,rural,water_safely_managed,9.9533,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2009,total,open_defecation,24.0335,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2009,total,sanitation_basic,29.3751,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2009,total,sanitation_safely_managed,21.4075,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2009,total,water_basic,55.3918,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2009,total,water_safely_managed,24.0666,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2009,urban,open_defecation,7.0867,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2009,urban,sanitation_basic,44.0316,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2009,urban,sanitation_safely_managed,28.7625,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2009,urban,water_basic,81.8363,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2009,urban,water_safely_managed,47.8922,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2010,rural,handwashing_basic,10.9182,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2010,rural,open_defecation,33.3864,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
