iso3,year,indicator,who_gho,world_bank,abs_diff,source
TKM,2003,open_defecation,0.0000,0.4752,0.4752,WHO GHO (rounded) vs World Bank WDI
PER,2000,open_defecation,18.0000,18.4749,0.4749,WHO GHO (rounded) vs World Bank WDI
IND,2004,open_defecation,62.0000,61.5258,0.4742,WHO GHO (rounded) vs World Bank WDI
VUT,2022,open_defecation,5.0000,4.5259,0.4741,WHO GHO (rounded) vs World Bank WDI
BFA,2023,open_defecation,32.0000,31.5264,0.4736,WHO GHO (rounded) vs World Bank WDI
BHS,2011,open_defecation,0.0000,0.4732,0.4732,WHO GHO (rounded) vs World Bank WDI
DZA,2007,open_defecation,3.0000,3.4729,0.4729,WHO GHO (rounded) vs World Bank WDI
YEM,2019,open_defecation,10.0000,10.4729,0.4729,WHO GHO (rounded) vs World Bank WDI
MWI,2002,open_defecation,14.0000,13.5274,0.4726,WHO GHO (rounded) vs World Bank WDI
KNA,2003,open_defecation,2.0000,2.4725,0.4725,WHO GHO (rounded) vs World Bank WDI
GAB,2000,open_defecation,2.0000,2.4724,0.4724,WHO GHO (rounded) vs World Bank WDI
IRN,2001,open_defecation,1.0000,0.5276,0.4724,WHO GHO (rounded) vs World Bank WDI
EGY,2002,open_defecation,2.0000,1.5277,0.4723,WHO GHO (rounded) vs World Bank WDI
MNG,2017,open_defecation,8.0000,7.5277,0.4723,WHO GHO (rounded) vs World Bank WDI
EGY,2013,open_defecation,1.0000,0.5279,0.4721,WHO GHO (rounded) vs World Bank WDI
MDG,2019,open_defecation,31.0000,30.5279,0.4721,WHO GHO (rounded) vs World Bank WDI
ARG,2014,open_defecation,2.0000,1.5280,0.4720,WHO GHO (rounded) vs World Bank WDI
PSE,2007,open_defecation,1.0000,0.5280,0.4720,WHO GHO (rounded) vs World Bank WDI
ALB,2008,open_defecation,0.0000,0.4719,0.4719,WHO GHO (rounded) vs World Bank WDI
MHL,2017,open_defecation,8.0000,8.4719,0.4719,WHO GHO (rounded) vs World Bank WDI
ZWE,2023,open_defecation,14.0000,13.5282,0.4718,WHO GHO (rounded) vs World Bank WDI
COM,2017,open_defecation,1.0000,1.4716,0.4716,WHO GHO (rounded) vs World Bank WDI
