iso3,country,region,income_group,year,population,water_basic_pct,water_safely_managed_pct,basic_minus_safely_pts,sanitation_basic_pct,sanitation_safely_managed_pct,open_defecation_pct,handwashing_basic_pct,water_safely_managed_urban_pct,water_safely_managed_rural_pct,wash_deaths_per_100k,source
GRD,Grenada,Latin America & Caribbean ,Upper middle income,2024,117207,,,,92.62,,,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
GRL,Greenland,Europe & Central Asia,High income,2024,56836,100.0,,,,,,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
GTM,Guatemala,Latin America & Caribbean ,Upper middle income,2024,18406359,93.18,48.79,44.39,71.17,,0.99,,51.72,45.41,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
GUM,Guam,East Asia & Pacific,High income,2024,167777,99.53,94.0,5.53,90.38,,,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
GUY,Guyana,Latin America & Caribbean ,High income,2024,831087,95.64,67.17,28.47,91.31,43.44,0.01,83.45,76.04,63.84,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
HKG,"Hong Kong SAR, China",East Asia & Pacific,High income,2024,7524100,,,,,,0,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
HND,Honduras,Latin America & Caribbean ,Lower middle income,2024,10825703,95.73,65.52,30.21,87.67,,3.41,84.98,78.44,45.46,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
HRV,Croatia,Europe & Central Asia,High income,2024,3866200,99.9,87.27,12.63,,,,,96.48,74.04,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
HTI,Haiti,Latin America & Caribbean ,Lower middle income,2024,11772557,73.32,,,29.11,,,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
HUN,Hungary,Europe & Central Asia,High income,2024,9562065,100.0,100.0,0.0,97.97,91.71,0,,100.0,100.0,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
IDN,Indonesia,East Asia & Pacific,Upper middle income,2024,283487931,89.01,30.46,58.55,88.2,,2.29,79.78,34.66,24.36,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
IMN,Isle of Man,Europe & Central Asia,High income,2024,84160,100.0,99.91,0.09,100.0,84.82,0,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
IND,India,South Asia,Lower middle income,2024,1450935791,95.72,76.44,19.28,83.38,62.79,6.73,89.69,82.97,72.63,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
IRL,Ireland,Europe & Central Asia,High income,2024,5395790,97.1,96.13,0.97,89.73,81.26,0,,96.12,96.14,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
IRN,"Iran, Islamic Rep.","Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,2024,91567738,97.85,94.41,3.44,90.46,,,,96.23,88.07,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
IRQ,Iraq,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,2024,46042015,98.41,59.83,38.58,98.5,50.9,0.0,97.4,64.6,47.64,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
ISL,Iceland,Europe & Central Asia,High income,2024,386506,100.0,100.0,0.0,98.78,,0,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
ISR,Israel,"Middle East, North Africa, Afghanistan & Pakistan",High income,2024,10002200,100.0,99.46,0.54,99.92,97.17,0,,99.47,99.39,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
ITA,Italy,Europe & Central Asia,High income,2024,58952704,99.92,96.76,3.16,99.88,78.21,0,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
JAM,Jamaica,Latin America & Caribbean ,Upper middle income,2024,2839175,87.56,,,91.63,73.61,0.57,70.37,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
JOR,Jordan,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,2024,11552876,99.29,88.95,10.34,96.41,80.08,0.05,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
JPN,Japan,East Asia & Pacific,High income,2024,123975371,99.18,98.73,0.45,99.94,99.19,0,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,2024,20592571,97.83,91.55,6.28,97.94,,0,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
KEN,Kenya,Sub-Saharan Africa ,Lower middle income,2024,56432944,65.6,,,40.88,35.83,5.91,57.51,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
KGZ,Kyrgyz Republic,Europe & Central Asia,Lower middle income,2024,7221868,94.94,73.88,21.06,98.54,93.03,0,97.24,81.01,69.48,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
KHM,Cambodia,East Asia & Pacific,Lower middle income,2024,17638801,82.85,29.99,52.86,83.34,51.6,5.24,87.16,57.16,20.42,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
KIR,Kiribati,East Asia & Pacific,Lower middle income,2024,134518,79.07,15.09,63.98,45.17,24.65,32.36,62.18,20.87,6.95,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
KNA,St. Kitts and Nevis,Latin America & Caribbean ,High income,2017,47050,98.61,,,94.95,,1.32,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
KOR,"Korea, Rep.",East Asia & Pacific,High income,2024,51751065,100.0,99.28,0.72,99.73,99.33,0,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
KWT,Kuwait,"Middle East, North Africa, Afghanistan & Pakistan",High income,2024,4897263,100.0,100.0,0.0,100.0,100.0,0,,100.0,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
LAO,Lao PDR,East Asia & Pacific,Lower middle income,2024,7769819,95.86,35.19,60.67,88.73,71.38,8.73,63.61,50.85,25.21,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
LBN,Lebanon,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,2024,5805962,92.6,47.7,44.9,99.2,25.67,0,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
LBR,Liberia,Sub-Saharan Africa ,Low income,2024,5612817,78.83,,,23.34,,33.92,3.49,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
LBY,Libya,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,2024,7381023,96.35,,,88.5,21.75,0.57,95.59,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
LCA,St. Lucia,Latin America & Caribbean ,Upper middle income,2024,179744,98.1,,,,,,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
LIE,Liechtenstein,Europe & Central Asia,High income,2024,40450,100.0,100.0,0.0,99.95,96.3,0,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
LKA,Sri Lanka,South Asia,Upper middle income,2024,21916000,90.21,46.93,43.28,95.35,,0,87.69,80.11,38.94,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
LSO,Lesotho,Sub-Saharan Africa ,Lower middle income,2024,2337423,78.08,31.32,46.76,47.89,43.75,14.76,20.85,69.38,14.3,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
LTU,Lithuania,Europe & Central Asia,High income,2024,2888278,99.92,96.73,3.19,96.4,96.4,0,,99.32,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
LUX,Luxembourg,Europe & Central Asia,High income,2024,677012,100.0,99.65,0.35,97.6,96.32,0,,99.8,97.9,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
LVA,Latvia,Europe & Central Asia,High income,2024,1866124,98.77,97.01,1.76,92.53,92.53,0,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
MAC,"Macao SAR, China",East Asia & Pacific,High income,2024,687000,,,,,,0,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
MAF,St. Martin (French part),Latin America & Caribbean ,High income,2024,26129,,,,,,0,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
MAR,Morocco,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,2024,38081173,92.21,79.98,12.23,87.78,8.42,0.05,,91.25,58.45,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
MCO,Monaco,Europe & Central Asia,High income,2024,38631,100.0,100.0,0.0,100.0,100.0,0,,100.0,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
MDA,Moldova,Europe & Central Asia,Upper middle income,2024,2402306,92.71,75.82,16.89,86.88,,0.13,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
MDG,Madagascar,Sub-Saharan Africa ,Low income,2024,31964956,55.34,22.06,33.28,15.37,12.8,27.01,23.53,38.57,10.47,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
MDV,Maldives,South Asia,Upper middle income,2024,527799,99.76,,,99.7,,0,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
MEX,Mexico,Latin America & Caribbean ,Upper middle income,2024,130861007,99.54,42.97,56.57,92.99,62.75,0,98.79,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
MHL,Marshall Islands,East Asia & Pacific,Upper middle income,2024,37548,87.44,,,78.96,,6.82,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
MKD,North Macedonia,Europe & Central Asia,Upper middle income,2024,1824359,98.19,80.79,17.4,99.0,12.11,0.11,99.67,84.73,74.92,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
MLI,Mali,Sub-Saharan Africa ,Low income,2024,24478595,86.36,,,47.76,20.01,3.87,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
MLT,Malta,"Middle East, North Africa, Afghanistan & Pakistan",High income,2024,568847,100.0,99.83,0.17,100.0,100.0,0,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
MMR,Myanmar,East Asia & Pacific,Lower middle income,2024,54500091,85.69,59.72,25.97,74.18,60.53,6.75,74.67,74.21,52.76,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
MNE,Montenegro,Europe & Central Asia,Upper middle income,2024,623525,99.28,85.5,13.78,97.85,50.87,0.04,,87.32,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
MNG,Mongolia,East Asia & Pacific,Upper middle income,2024,3524788,86.09,43.36,42.73,74.28,69.95,4.3,86.4,55.41,16.22,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
MNP,Northern Mariana Islands,East Asia & Pacific,High income,2024,44278,100.0,81.45,18.55,99.76,,0.16,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
MOZ,Mozambique,Sub-Saharan Africa ,Low income,2024,34631766,66.63,27.54,39.09,38.59,33.94,16.04,15.81,47.54,14.58,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
MRT,Mauritania,Sub-Saharan Africa ,Lower middle income,2024,5169395,77.28,,,58.68,,16.19,40.7,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
MUS,Mauritius,Sub-Saharan Africa ,Upper middle income,2024,1245779,99.93,,,97.37,,0.25,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
MWI,Malawi,Sub-Saharan Africa ,Low income,2024,21655286,73.05,18.18,54.87,49.23,46.15,1.94,15.4,52.41,10.36,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
MYS,Malaysia,East Asia & Pacific,Upper middle income,2024,35557673,97.94,94.7,3.24,96.02,85.79,,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
NAM,Namibia,Sub-Saharan Africa ,Lower middle income,2024,3030131,86.51,,,38.72,,34.68,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
NCL,New Caledonia,East Asia & Pacific,High income,2024,292639,99.54,96.87,2.67,100.0,,0,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
NER,Niger,Sub-Saharan Africa ,Low income,2024,27032412,53.43,,,16.34,9.15,65.98,21.53,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
NGA,Nigeria,Sub-Saharan Africa ,Lower middle income,2024,232679478,82.25,29.9,52.35,47.9,32.21,17.96,31.31,36.05,22.39,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
NLD,Netherlands,Europe & Central Asia,High income,2024,17993485,100.0,99.96,0.04,97.66,97.5,0,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
NOR,Norway,Europe & Central Asia,High income,2024,5572279,100.0,99.06,0.94,98.05,77.93,0,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
NPL,Nepal,South Asia,Lower middle income,2024,29651054,93.64,16.49,77.15,86.03,53.41,0.53,68.24,23.62,14.43,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
NRU,Naoero,East Asia & Pacific,High income,2024,11947,97.84,18.66,79.18,71.32,33.16,0.82,90.79,18.66,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
