fac_id,name,city,country,continent,net_count,ix_count,carrier_count,latitude,longitude,source
14312,Quantum Switch DMM B,Dammam,SA,Middle East,0,0,0,26.2536,49.9892,"PeeringDB, peeringdb.com/api"
14313,VDC2 Viatel Parkwest,Dublin,IE,Europe,1,0,0,53.330787,-6.377148,"PeeringDB, peeringdb.com/api"
14314,MTN Congo Datacenter,Brazzaville,CG,Africa,1,0,0,-4.271188,15.288609,"PeeringDB, peeringdb.com/api"
14316,nLighten Leeds LBA1,Normanton,GB,Europe,2,0,0,53.699308,-1.397674,"PeeringDB, peeringdb.com/api"
14325,Open DC PE1 - Suntech Penang Cybercity,Penang,MY,Asia Pacific,5,3,0,5.325826,100.286772,"PeeringDB, peeringdb.com/api"
14327,CoreSite - Miami (MI2),Doral,US,North America,4,2,1,25.793318,-80.333581,"PeeringDB, peeringdb.com/api"
14330,Cellnex Datacenter Rotterdam,Rotterdam,NL,Europe,2,0,1,51.875343,4.449031,"PeeringDB, peeringdb.com/api"
14331,Cellnex Datacenter Amsterdam,Amsterdam,NL,Europe,9,0,3,52.336273,4.886635,"PeeringDB, peeringdb.com/api"
14332,Cellnex Datacenter Hilversum,Hilversum,NL,Europe,4,0,2,52.242621,5.164383,"PeeringDB, peeringdb.com/api"
14333,Cellnex Datacenter Alphen aan den Rijn,Alphen aan den Rijn,NL,Europe,3,0,1,52.136933,4.646501,"PeeringDB, peeringdb.com/api"
14336,Scala Data Centers SPOAPA01,Porto Alegre,BR,South America,9,1,0,-30.002768,-51.198149,"PeeringDB, peeringdb.com/api"
14338,PIX Hilan,Brasília,BR,South America,6,0,0,-15.796123,-47.891871,"PeeringDB, peeringdb.com/api"
14339,Scala Data Centers SMEXTP01,Tepotzotlán,MX,North America,1,0,0,19.726354,-99.206124,"PeeringDB, peeringdb.com/api"
14340,Scala Data Centers SSCLCR01,Placilla,CL,South America,0,1,0,-33.135779,-71.558436,"PeeringDB, peeringdb.com/api"
14341,DC BLOX MYR1 - DCBLOX Myrtle Beach,Myrtle Beach,US,North America,1,0,1,33.674793,-78.942594,"PeeringDB, peeringdb.com/api"
14342,GigeNET CHI3,Arlington Heights,US,North America,1,0,0,42.040442,-87.976151,"PeeringDB, peeringdb.com/api"
14343,Bonnie Lane,Sylva,US,North America,0,0,0,35.350076,-83.208476,"PeeringDB, peeringdb.com/api"
14345,Cellcom Israel Netanya Data center,Netanya,IL,Middle East,4,0,0,,,"PeeringDB, peeringdb.com/api"
14346,Cellcom Israel Rosh Ha'ayin Data center,Rosh Ha'Ayin,IL,Middle East,3,0,0,,,"PeeringDB, peeringdb.com/api"
14347,Cellcom Israel Haifa Data center,Haifa,IL,Middle East,4,0,0,,,"PeeringDB, peeringdb.com/api"
14348,Online.pt LIS1 Datacenter,Barreiro,PT,Europe,0,0,0,,,"PeeringDB, peeringdb.com/api"
14349,Fujitsu Homebush/Sydney Olympic Park,Sydney Olympic Park,AU,Australia,2,0,0,-33.849743,151.071609,"PeeringDB, peeringdb.com/api"
14350,NTT EAST 3rd MIYAGI DATA CENTER,Sendai-shi,JP,Asia Pacific,0,1,0,,,"PeeringDB, peeringdb.com/api"
14351,NTT EAST 2nd HOKKAIDO DATA CENTER,Sapporo-shi,JP,Asia Pacific,0,1,0,,,"PeeringDB, peeringdb.com/api"
