landing_point_id,name,longitude,latitude,source
fish-camp-ak-united-states,Fish Camp  AK  United States,-154.85885536783067,59.94919988638963,"TeleGeography Submarine Cable Map, submarinecablemap.com"
nondalton-ak-united-states,Nondalton  AK  United States,-154.84772256321745,59.972649771731774,"TeleGeography Submarine Cable Map, submarinecablemap.com"
newhalen-ak-united-states,Newhalen  AK  United States,-154.899773307594,59.7181450195821,"TeleGeography Submarine Cable Map, submarinecablemap.com"
kokhanok-ak-united-states,Kokhanok  AK  United States,-154.75275192737027,59.44215809995201,"TeleGeography Submarine Cable Map, submarinecablemap.com"
pile-bay-ak-united-states,Pile Bay  AK  United States,-153.88048692029113,59.776054476860836,"TeleGeography Submarine Cable Map, submarinecablemap.com"
illiamna-ak-united-states,Illiamna  AK  United States,-154.90612095934728,59.754765229743505,"TeleGeography Submarine Cable Map, submarinecablemap.com"
pedro-bay-ak-united-states,Pedro Bay  AK  United States,-154.10612152607442,59.7872115404838,"TeleGeography Submarine Cable Map, submarinecablemap.com"
williamsport-ak-united-states,Williamsport  AK  United States,-153.63214725246726,59.682402835634406,"TeleGeography Submarine Cable Map, submarinecablemap.com"
mchugh-point-ak-united-states,McHugh Point  AK  United States,-149.73219884335225,61.01571463051166,"TeleGeography Submarine Cable Map, submarinecablemap.com"
portage-ak-united-states,Portage  AK  United States,-148.98981655676278,60.82828925189919,"TeleGeography Submarine Cable Map, submarinecablemap.com"
matara-sri-lanka,Matara  Sri Lanka,80.53986093015084,5.940833037393244,"TeleGeography Submarine Cable Map, submarinecablemap.com"
kuakata-bangladesh,Kuakata  Bangladesh,90.11661195839058,21.816735551700102,"TeleGeography Submarine Cable Map, submarinecablemap.com"
ngwe-saung-myanmar,Ngwe Saung  Myanmar,94.39121830521923,16.858028367792194,"TeleGeography Submarine Cable Map, submarinecablemap.com"
dunvegan-united-kingdom,Dunvegan  United Kingdom,-6.581659383399854,57.43632161635939,"TeleGeography Submarine Cable Map, submarinecablemap.com"
holmar-united-kingdom,Holmar  United Kingdom,-7.274140611586573,57.36669044941733,"TeleGeography Submarine Cable Map, submarinecablemap.com"
ardvasar-united-kingdom,Ardvasar  United Kingdom,-5.906464549211167,57.059371673818994,"TeleGeography Submarine Cable Map, submarinecablemap.com"
